Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
Angola,160.0,328.0,0.0,18.0,0.0,107.0,0.0,203.0,6.0,10.0,0.5,10000.0,304.0,32860881.0,100186.0,1825605.0,3286.0
Myanmar,161.0,313.0,7.0,6.0,0.0,240.0,3.0,67.0,0.0,6.0,0.1,81977.0,1507.0,54412560.0,173842.0,9068760.0,664.0
Comoros,162.0,309.0,0.0,7.0,0.0,241.0,0.0,61.0,0.0,355.0,8.0,0.0,0.0,869602.0,2814.0,124229.0,0.0
Botswana,163.0,277.0,0.0,1.0,0.0,29.0,0.0,247.0,1.0,118.0,0.4,45440.0,19323.0,2351656.0,8490.0,2351656.0,52.0
Guyana,164.0,256.0,0.0,14.0,0.0,117.0,0.0,125.0,1.0,325.0,18.0,2711.0,3447.0,786584.0,3073.0,56185.0,290.0
Martinique,165.0,249.0,0.0,14.0,0.0,98.0,0.0,137.0,5.0,664.0,37.0,0.0,0.0,375262.0,1507.0,26804.0,0.0
Mongolia,166.0,220.0,0.0,0.0,0.0,183.0,4.0,37.0,6.0,67.0,0.0,23991.0,7318.0,3278436.0,14902.0,0.0,137.0
Eritrea,167.0,215.0,0.0,0.0,0.0,56.0,0.0,159.0,0.0,61.0,0.0,0.0,0.0,3546614.0,16496.0,0.0,0.0
Cayman Islands,168.0,201.0,0.0,1.0,0.0,194.0,0.0,6.0,0.0,3058.0,15.0,24321.0,370036.0,65726.0,327.0,65726.0,3.0
Burundi,169.0,191.0,0.0,1.0,0.0,118.0,0.0,72.0,0.0,16.0,0.08,749.0,63.0,11889174.0,62247.0,11889174.0,15873.0
Faeroe Islands,170.0,187.0,0.0,0.0,0.0,187.0,0.0,0.0,0.0,3827.0,0.0,15395.0,315052.0,48865.0,261.0,0.0,3.0
Guadeloupe,171.0,184.0,0.0,14.0,0.0,157.0,0.0,13.0,4.0,460.0,35.0,9649.0,24115.0,400125.0,2175.0,28580.0,41.0
Gibraltar,172.0,178.0,0.0,0.0,0.0,176.0,0.0,2.0,0.0,5283.0,0.0,14119.0,419073.0,33691.0,189.0,0.0,2.0
Bermuda,173.0,146.0,0.0,9.0,0.0,137.0,0.0,0.0,1.0,2344.0,145.0,11908.0,191216.0,62275.0,427.0,6919.0,5.0
Brunei ,174.0,141.0,0.0,3.0,0.0,138.0,0.0,0.0,0.0,322.0,7.0,29841.0,68207.0,437505.0,3103.0,145835.0,15.0
Cambodia,175.0,141.0,0.0,0.0,0.0,131.0,0.0,10.0,1.0,8.0,0.0,38335.0,2293.0,16719876.0,118581.0,0.0,436.0
Trinidad and Tobago,176.0,130.0,0.0,8.0,0.0,115.0,0.0,7.0,0.0,93.0,6.0,5338.0,3814.0,1399530.0,10766.0,174941.0,262.0
Monaco,177.0,106.0,0.0,4.0,0.0,95.0,0.0,7.0,0.0,2701.0,102.0,16200.0,412802.0,39244.0,370.0,9811.0,2.0
Aruba,178.0,105.0,1.0,3.0,0.0,98.0,0.0,4.0,0.0,983.0,28.0,2575.0,24117.0,106770.0,1017.0,35590.0,41.0
Bahamas,179.0,104.0,0.0,11.0,0.0,89.0,0.0,4.0,1.0,264.0,28.0,2436.0,6194.0,393267.0,3781.0,35752.0,161.0
Barbados,180.0,97.0,0.0,7.0,0.0,90.0,0.0,0.0,0.0,338.0,24.0,8120.0,28255.0,287379.0,2963.0,41054.0,35.0
Liechtenstein,181.0,83.0,0.0,1.0,0.0,81.0,0.0,1.0,0.0,2177.0,26.0,900.0,23604.0,38129.0,459.0,38129.0,42.0
Seychelles,182.0,81.0,0.0,0.0,0.0,11.0,0.0,70.0,0.0,824.0,0.0,0.0,0.0,98352.0,1214.0,0.0,0.0
Sint Maarten,183.0,78.0,1.0,15.0,0.0,63.0,1.0,0.0,0.0,1819.0,350.0,500.0,11661.0,42879.0,550.0,2859.0,86.0
Bhutan,184.0,78.0,1.0,0.0,0.0,51.0,1.0,27.0,0.0,101.0,0.0,25456.0,32989.0,771654.0,9893.0,0.0,30.0
Antigua and Barbuda,185.0,68.0,0.0,3.0,0.0,23.0,0.0,42.0,1.0,694.0,31.0,796.0,8128.0,97934.0,1440.0,32645.0,123.0
French Polynesia,186.0,62.0,0.0,0.0,0.0,60.0,0.0,2.0,0.0,221.0,0.0,4649.0,16549.0,280921.0,4531.0,0.0,60.0
Gambia,187.0,55.0,0.0,2.0,0.0,27.0,0.0,26.0,0.0,23.0,0.8,3005.0,1244.0,2416422.0,43935.0,1208211.0,804.0
Macao,188.0,46.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,71.0,0.0,4071.0,6269.0,649371.0,14117.0,0.0,160.0
Turks and Caicos,189.0,45.0,1.0,2.0,0.0,11.0,0.0,32.0,0.0,1162.0,52.0,690.0,17821.0,38719.0,860.0,19360.0,56.0
Saint Martin,190.0,43.0,0.0,3.0,0.0,37.0,0.0,3.0,1.0,1112.0,78.0,851.0,22008.0,38667.0,899.0,12889.0,45.0
Lesotho,191.0,35.0,0.0,0.0,0.0,11.0,0.0,24.0,0.0,16.0,0.0,3000.0,1400.0,2142367.0,61210.0,0.0,714.0
Belize,192.0,30.0,2.0,2.0,0.0,19.0,1.0,9.0,0.0,75.0,5.0,2358.0,5930.0,397640.0,13255.0,198820.0,169.0
St. Vincent Grenadines,193.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,261.0,0.0,844.0,7608.0,110943.0,3826.0,0.0,131.0
Timor-Leste,194.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,1568.0,1189.0,1318476.0,54937.0,0.0,841.0
Curaçao,195.0,23.0,0.0,1.0,0.0,19.0,0.0,3.0,0.0,140.0,6.0,1080.0,6581.0,164099.0,7135.0,164099.0,152.0
Grenada,196.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,204.0,0.0,5465.0,48566.0,112527.0,4892.0,0.0,21.0
Saint Lucia,197.0,22.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,120.0,0.0,1815.0,9884.0,183634.0,8347.0,0.0,101.0
New Caledonia,198.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,74.0,0.0,8610.0,30156.0,285515.0,13596.0,0.0,33.0
Laos,199.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,17089.0,2349.0,7275939.0,382944.0,0.0,426.0
Dominica,200.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,250.0,0.0,623.0,8654.0,71988.0,3999.0,0.0,116.0
Fiji,201.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,20.0,0.0,4000.0,4462.0,896492.0,49805.0,0.0,224.0
Saint Kitts and Nevis,202.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,282.0,0.0,480.0,9022.0,53202.0,3547.0,0.0,111.0
Falkland Islands,203.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3736.0,0.0,1197.0,343966.0,3480.0,268.0,0.0,3.0
Greenland,204.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,229.0,0.0,3954.0,69648.0,56771.0,4367.0,0.0,14.0
Vatican City,205.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14981.0,0.0,0.0,0.0,801.0,67.0,0.0,0.0
Montserrat,206.0,11.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,2204.0,200.0,61.0,12220.0,4992.0,454.0,4992.0,82.0
Papua New Guinea,207.0,11.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,7147.0,799.0,8947241.0,813386.0,0.0,1252.0
Western Sahara,208.0,10.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,17.0,2.0,0.0,0.0,597314.0,59731.0,597314.0,0.0
MS Zaandam,209.0,9.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
British Virgin Islands,210.0,8.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,265.0,33.0,439.0,14521.0,30233.0,3779.0,30233.0,69.0
Caribbean Netherlands,211.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,267.0,0.0,424.0,16168.0,26225.0,3746.0,0.0,62.0
St. Barth,212.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,607.0,0.0,152.0,15389.0,9877.0,1646.0,0.0,65.0
Anguilla,213.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,200.0,0.0,272.0,18128.0,15004.0,5001.0,0.0,55.0
Saint Pierre Miquelon,214.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,5794.0,5794.0,0.0,0.0
China,215.0,83545.0,3.0,4634.0,0.0,78509.0,10.0,402.0,5.0,58.0,3.0,90410000.0,62814.0,1439323776.0,17228.0,310601.0,16.0
