Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
China,81171.0,78.0,3277.0,7.0,73159.0,4735.0,1573.0,56.0,2.0
Italy,69176.0,5249.0,6820.0,743.0,8326.0,54030.0,3393.0,1144.0,113.0
USA,54856.0,11075.0,780.0,225.0,379.0,53697.0,1175.0,166.0,2.0
Spain,42058.0,6922.0,2991.0,680.0,3794.0,35273.0,2636.0,900.0,64.0
Germany,32991.0,3935.0,159.0,36.0,3290.0,29542.0,23.0,394.0,2.0
Iran,24811.0,1762.0,1934.0,122.0,8913.0,13964.0,0.0,295.0,23.0
France,22304.0,2448.0,1100.0,240.0,3281.0,17923.0,2516.0,342.0,17.0
Switzerland,9877.0,1082.0,122.0,2.0,131.0,9624.0,141.0,1141.0,14.0
S. Korea,9037.0,76.0,120.0,9.0,3507.0,5410.0,59.0,176.0,2.0
UK,8077.0,1427.0,422.0,87.0,135.0,7520.0,20.0,119.0,6.0
Netherlands,5560.0,811.0,276.0,63.0,2.0,5282.0,435.0,324.0,16.0
Austria,5283.0,809.0,28.0,7.0,9.0,5246.0,22.0,587.0,3.0
Belgium,4269.0,526.0,122.0,34.0,461.0,3686.0,381.0,368.0,11.0
Norway,2866.0,241.0,12.0,2.0,6.0,2848.0,44.0,529.0,2.0
Canada,2792.0,701.0,26.0,2.0,112.0,2654.0,1.0,74.0,0.7
Portugal,2362.0,302.0,33.0,10.0,22.0,2307.0,48.0,232.0,3.0
Australia,2317.0,430.0,8.0,1.0,118.0,2191.0,11.0,91.0,0.3
Sweden,2299.0,253.0,40.0,13.0,16.0,2243.0,143.0,228.0,4.0
Brazil,2247.0,323.0,46.0,12.0,2.0,2199.0,18.0,11.0,0.2
Israel,1930.0,488.0,3.0,2.0,53.0,1874.0,34.0,223.0,0.3
Turkey,1872.0,343.0,44.0,7.0,0.0,1828.0,0.0,22.0,0.5
Malaysia,1624.0,106.0,16.0,2.0,183.0,1425.0,64.0,50.0,0.5
Denmark,1591.0,131.0,32.0,8.0,1.0,1558.0,69.0,275.0,6.0
Czechia,1394.0,158.0,3.0,2.0,10.0,1381.0,19.0,130.0,0.3
Ireland,1329.0,204.0,7.0,1.0,5.0,1317.0,29.0,269.0,1.0
Japan,1193.0,65.0,43.0,1.0,285.0,865.0,54.0,9.0,0.3
Luxembourg,1099.0,224.0,8.0,0.0,6.0,1085.0,3.0,1756.0,13.0
Ecuador,1082.0,101.0,27.0,9.0,3.0,1052.0,2.0,61.0,2.0
Pakistan,972.0,97.0,7.0,1.0,18.0,947.0,5.0,4.0,0.03
Chile,922.0,176.0,2.0,0.0,17.0,903.0,7.0,48.0,0.1
Poland,901.0,152.0,10.0,2.0,1.0,890.0,3.0,24.0,0.3
Thailand,827.0,106.0,4.0,3.0,52.0,771.0,7.0,12.0,0.06
Romania,794.0,218.0,12.0,5.0,79.0,703.0,15.0,41.0,0.6
Finland,792.0,92.0,1.0,0.0,10.0,781.0,11.0,143.0,0.2
Saudi Arabia,767.0,205.0,1.0,1.0,28.0,738.0,0.0,22.0,0.03
Greece,743.0,48.0,20.0,3.0,29.0,694.0,35.0,71.0,2.0
Diamond Princess,712.0,0.0,10.0,2.0,587.0,115.0,15.0,0.0,0.0
Indonesia,686.0,107.0,55.0,6.0,30.0,601.0,0.0,3.0,0.2
Iceland,648.0,60.0,2.0,1.0,51.0,595.0,13.0,1899.0,6.0
Singapore,558.0,49.0,2.0,0.0,156.0,400.0,14.0,95.0,0.3
South Africa,554.0,152.0,0.0,0.0,4.0,550.0,2.0,9.0,0.0
Philippines,552.0,90.0,35.0,2.0,20.0,497.0,1.0,5.0,0.3
India,536.0,37.0,10.0,0.0,40.0,486.0,0.0,0.4,0.01
Qatar,526.0,25.0,0.0,0.0,41.0,485.0,6.0,183.0,0.0
Russia,495.0,57.0,1.0,0.0,22.0,472.0,8.0,3.0,0.01
Slovenia,480.0,38.0,4.0,1.0,3.0,473.0,12.0,231.0,2.0
Panama,443.0,98.0,6.0,0.0,1.0,436.0,33.0,103.0,1.0
Peru,416.0,21.0,7.0,2.0,1.0,408.0,9.0,13.0,0.2
Egypt,402.0,36.0,20.0,1.0,80.0,302.0,0.0,4.0,0.2
Bahrain,392.0,15.0,3.0,1.0,177.0,212.0,2.0,230.0,2.0
Argentina,387.0,86.0,6.0,2.0,52.0,329.0,0.0,9.0,0.1
Hong Kong,387.0,30.0,4.0,0.0,102.0,281.0,4.0,52.0,0.5
Croatia,382.0,67.0,1.0,0.0,5.0,376.0,6.0,93.0,0.2
Colombia,378.0,101.0,3.0,0.0,6.0,369.0,0.0,7.0,0.06
Estonia,369.0,17.0,0.0,0.0,7.0,362.0,4.0,278.0,0.0
Mexico,367.0,51.0,4.0,1.0,4.0,359.0,1.0,3.0,0.03
Lebanon,318.0,51.0,4.0,0.0,8.0,306.0,4.0,47.0,0.6
Iraq,316.0,50.0,27.0,4.0,75.0,214.0,0.0,8.0,0.7
Dominican Republic,312.0,67.0,6.0,3.0,3.0,303.0,0.0,29.0,0.6
Serbia,303.0,54.0,3.0,0.0,15.0,285.0,21.0,35.0,0.3
Algeria,264.0,34.0,19.0,2.0,24.0,221.0,0.0,6.0,0.4
Armenia,249.0,14.0,0.0,0.0,14.0,235.0,6.0,84.0,0.0
UAE,248.0,50.0,2.0,0.0,45.0,201.0,2.0,25.0,0.2
Bulgaria,218.0,17.0,3.0,0.0,3.0,212.0,8.0,31.0,0.4
Taiwan,216.0,21.0,2.0,0.0,29.0,185.0,0.0,9.0,0.08
Lithuania,209.0,30.0,2.0,1.0,1.0,206.0,1.0,77.0,0.7
New Zealand,205.0,103.0,0.0,0.0,22.0,183.0,0.0,43.0,0.0
Slovakia,204.0,18.0,0.0,0.0,7.0,197.0,2.0,37.0,0.0
Latvia,197.0,17.0,0.0,0.0,1.0,196.0,0.0,104.0,0.0
Kuwait,191.0,2.0,0.0,0.0,39.0,152.0,5.0,45.0,0.0
Uruguay,189.0,27.0,0.0,0.0,0.0,189.0,3.0,54.0,0.0
San Marino,187.0,0.0,21.0,1.0,4.0,162.0,12.0,5511.0,619.0
Hungary,187.0,20.0,9.0,1.0,21.0,157.0,6.0,19.0,0.9
Costa Rica,177.0,19.0,2.0,0.0,2.0,173.0,4.0,35.0,0.4
Morocco,170.0,27.0,5.0,1.0,6.0,159.0,1.0,5.0,0.1
Bosnia and Herzegovina,168.0,32.0,3.0,2.0,2.0,163.0,1.0,51.0,0.9
Andorra,164.0,31.0,1.0,0.0,1.0,162.0,7.0,2123.0,13.0
Jordan,154.0,27.0,0.0,0.0,1.0,153.0,0.0,15.0,0.0
North Macedonia,148.0,12.0,2.0,0.0,1.0,145.0,1.0,71.0,1.0
Vietnam,134.0,11.0,0.0,0.0,17.0,117.0,3.0,1.0,0.0
Moldova,125.0,16.0,1.0,0.0,2.0,122.0,10.0,31.0,0.2
Cyprus,124.0,8.0,3.0,2.0,3.0,118.0,3.0,103.0,2.0
Albania,123.0,19.0,5.0,1.0,10.0,108.0,2.0,43.0,2.0
Faeroe Islands,122.0,4.0,0.0,0.0,33.0,89.0,0.0,2497.0,0.0
Burkina Faso,114.0,15.0,4.0,0.0,7.0,103.0,0.0,5.0,0.2
Tunisia,114.0,25.0,4.0,1.0,1.0,109.0,11.0,10.0,0.3
Malta,110.0,3.0,0.0,0.0,2.0,108.0,1.0,249.0,0.0
Brunei ,104.0,13.0,0.0,0.0,2.0,102.0,2.0,238.0,0.0
Ukraine,102.0,29.0,3.0,0.0,1.0,98.0,0.0,2.0,0.07
Sri Lanka,102.0,5.0,0.0,0.0,2.0,100.0,2.0,5.0,0.0
Réunion,94.0,23.0,0.0,0.0,1.0,93.0,0.0,105.0,0.0
Cambodia,91.0,4.0,0.0,0.0,4.0,87.0,1.0,5.0,0.0
Azerbaijan,87.0,15.0,1.0,0.0,10.0,76.0,6.0,9.0,0.1
Senegal,86.0,7.0,0.0,0.0,8.0,78.0,0.0,5.0,0.0
Oman,84.0,18.0,0.0,0.0,17.0,67.0,0.0,16.0,0.0
Venezuela,84.0,0.0,0.0,0.0,15.0,69.0,2.0,3.0,0.0
Belarus,81.0,0.0,0.0,0.0,22.0,59.0,0.0,9.0,0.0
Afghanistan,74.0,34.0,1.0,0.0,1.0,72.0,0.0,2.0,0.03
Guadeloupe,73.0,11.0,1.0,0.0,0.0,72.0,4.0,182.0,2.0
Ivory Coast,73.0,48.0,0.0,0.0,2.0,71.0,0.0,3.0,0.0
Kazakhstan,72.0,10.0,0.0,0.0,0.0,72.0,0.0,4.0,0.0
Georgia,70.0,9.0,0.0,0.0,9.0,61.0,1.0,18.0,0.0
Cameroon,66.0,10.0,1.0,1.0,2.0,63.0,0.0,2.0,0.04
Palestine,60.0,1.0,0.0,0.0,16.0,44.0,0.0,12.0,0.0
Martinique,57.0,4.0,1.0,0.0,0.0,56.0,7.0,152.0,3.0
Trinidad and Tobago,57.0,6.0,0.0,0.0,0.0,57.0,0.0,41.0,0.0
Ghana,53.0,26.0,2.0,0.0,0.0,51.0,0.0,2.0,0.06
Liechtenstein,51.0,0.0,0.0,0.0,0.0,51.0,0.0,1338.0,0.0
Uzbekistan,50.0,4.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0
Cuba,48.0,8.0,1.0,0.0,1.0,46.0,2.0,4.0,0.09
Montenegro,47.0,20.0,1.0,0.0,0.0,46.0,0.0,75.0,2.0
