Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop
USA,105726.0,1600.0,1730.0,34.0,2538.0,101458.0,2494.0,319.0,5.0
Italy,86498.0,0.0,9134.0,0.0,10950.0,66414.0,3732.0,1431.0,151.0
Spain,72248.0,6529.0,5812.0,674.0,12285.0,54151.0,4165.0,1545.0,124.0
Germany,53340.0,2469.0,399.0,48.0,6658.0,46283.0,1581.0,637.0,5.0
Iran,35408.0,3076.0,2517.0,139.0,11679.0,21212.0,3206.0,422.0,30.0
France,32964.0,0.0,1995.0,0.0,5700.0,25269.0,3787.0,505.0,31.0
UK,17089.0,2546.0,1019.0,260.0,135.0,15935.0,163.0,252.0,15.0
Switzerland,13377.0,449.0,242.0,11.0,1530.0,11605.0,203.0,1546.0,28.0
Netherlands,9762.0,1159.0,639.0,93.0,3.0,9120.0,761.0,570.0,37.0
S. Korea,9478.0,146.0,144.0,5.0,4811.0,4523.0,59.0,185.0,3.0
Belgium,9134.0,1850.0,353.0,64.0,1063.0,7718.0,789.0,788.0,30.0
Austria,8030.0,333.0,68.0,10.0,225.0,7737.0,128.0,892.0,8.0
Turkey,5698.0,0.0,92.0,0.0,42.0,5564.0,241.0,68.0,1.0
Portugal,5170.0,902.0,100.0,24.0,43.0,5027.0,89.0,507.0,10.0
Canada,4757.0,0.0,55.0,0.0,354.0,4348.0,120.0,126.0,1.0
Norway,3972.0,201.0,20.0,1.0,7.0,3945.0,76.0,733.0,4.0
Australia,3635.0,257.0,14.0,1.0,170.0,3451.0,23.0,143.0,0.5
Brazil,3477.0,60.0,93.0,1.0,6.0,3378.0,296.0,16.0,0.4
Israel,3460.0,425.0,12.0,0.0,89.0,3359.0,50.0,400.0,1.0
Sweden,3069.0,0.0,105.0,0.0,16.0,2948.0,214.0,304.0,10.0
Czechia,2541.0,262.0,9.0,0.0,11.0,2521.0,34.0,237.0,0.8
Malaysia,2320.0,159.0,27.0,1.0,320.0,1973.0,54.0,72.0,0.8
Denmark,2201.0,155.0,65.0,13.0,1.0,2135.0,109.0,380.0,11.0
Ireland,2121.0,0.0,22.0,0.0,5.0,2094.0,59.0,430.0,4.0
Chile,1909.0,299.0,5.0,0.0,43.0,1861.0,7.0,100.0,0.3
Ecuador,1627.0,0.0,41.0,0.0,3.0,1583.0,58.0,92.0,2.0
Luxembourg,1605.0,0.0,15.0,0.0,40.0,1550.0,25.0,2564.0,24.0
Japan,1499.0,0.0,49.0,0.0,404.0,1046.0,56.0,12.0,0.4
Poland,1481.0,92.0,17.0,1.0,7.0,1457.0,3.0,39.0,0.4
Romania,1452.0,160.0,29.0,3.0,139.0,1284.0,34.0,75.0,2.0
Pakistan,1415.0,42.0,12.0,1.0,29.0,1374.0,7.0,6.0,0.05
Russia,1264.0,228.0,4.0,0.0,49.0,1211.0,8.0,9.0,0.03
Thailand,1245.0,109.0,6.0,1.0,97.0,1142.0,11.0,18.0,0.09
Saudi Arabia,1203.0,99.0,4.0,1.0,37.0,1162.0,6.0,35.0,0.1
South Africa,1170.0,0.0,1.0,0.0,31.0,1138.0,7.0,20.0,0.02
Finland,1167.0,126.0,9.0,2.0,10.0,1148.0,32.0,211.0,2.0
Indonesia,1155.0,109.0,102.0,15.0,59.0,994.0,0.0,4.0,0.4
Philippines,1075.0,272.0,68.0,14.0,35.0,972.0,1.0,10.0,0.6
Greece,966.0,0.0,28.0,0.0,52.0,886.0,66.0,93.0,3.0
Iceland,963.0,73.0,2.0,0.0,97.0,864.0,18.0,2822.0,6.0
India,933.0,46.0,20.0,0.0,84.0,829.0,0.0,0.7,0.01
